{'Time': '2026-04-13T18:27:01.493426+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18038680', 'Gig0-0_In_uPackets': '160258', 'Gig0-0_Out_Octet': '12010847', 'Gig0-0_Out_uPackets': '107843'}
{'Time': '2026-04-13T18:28:02.399567+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18039566', 'Gig0-0_In_uPackets': '160266', 'Gig0-0_Out_Octet': '12012026', 'Gig0-0_Out_uPackets': '107854'}
{'Time': '2026-04-13T18:29:01.956460+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18040450', 'Gig0-0_In_uPackets': '160274', 'Gig0-0_Out_Octet': '12012782', 'Gig0-0_Out_uPackets': '107864'}
{'Time': '2026-04-13T18:30:02.146635+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18041333', 'Gig0-0_In_uPackets': '160282', 'Gig0-0_Out_Octet': '12013942', 'Gig0-0_Out_uPackets': '107875'}
{'Time': '2026-04-13T18:31:02.050442+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18042171', 'Gig0-0_In_uPackets': '160289', 'Gig0-0_Out_Octet': '12015104', 'Gig0-0_Out_uPackets': '107886'}
{'Time': '2026-04-13T18:32:01.528477+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18043055', 'Gig0-0_In_uPackets': '160297', 'Gig0-0_Out_Octet': '12016263', 'Gig0-0_Out_uPackets': '107897'}
{'Time': '2026-04-13T18:33:02.106877+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18043938', 'Gig0-0_In_uPackets': '160305', 'Gig0-0_Out_Octet': '12017423', 'Gig0-0_Out_uPackets': '107908'}
{'Time': '2026-04-13T18:34:01.824736+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18044824', 'Gig0-0_In_uPackets': '160313', 'Gig0-0_Out_Octet': '12018585', 'Gig0-0_Out_uPackets': '107919'}
{'Time': '2026-04-13T18:35:01.717387+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18045708', 'Gig0-0_In_uPackets': '160321', 'Gig0-0_Out_Octet': '12019744', 'Gig0-0_Out_uPackets': '107930'}
{'Time': '2026-04-13T18:36:02.147173+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18046589', 'Gig0-0_In_uPackets': '160329', 'Gig0-0_Out_Octet': '12020841', 'Gig0-0_Out_uPackets': '107940'}
{'Time': '2026-04-13T18:37:01.340202+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18047470', 'Gig0-0_In_uPackets': '160337', 'Gig0-0_Out_Octet': '12021595', 'Gig0-0_Out_uPackets': '107950'}
